,election_year,pc_name,pc_no,electors,male_electors,female_electors,booths,votes_polled,male_voters,female_voters
0,1977,Adilabad,35,"Electors: 5,48,091","Male Electors: 2,68,815","Female Electors: 2,79,276",Booths: 614,"Total Votes Polled: 3,10,466 (56.6%)","Total Male Voters: 1,74,607","Female Voters: 1,35,859"
1,1977,Adoor,17,"Electors: 5,25,154","Male Electors: 2,63,071","Female Electors: 2,62,083",Booths: 469,"Total Votes Polled: 4,29,974 (81.9%)","Total Male Voters: 2,14,007","Female Voters: 2,15,967"
2,1977,Agra,73,"Electors: 5,66,094","Male Electors: 3,00,832","Female Electors: 2,65,262",Booths: 603,"Total Votes Polled: 3,72,202 (65.8%)","Total Male Voters: 2,04,814","Female Voters: 1,67,388"
3,1977,Ahmedabad,10,"Electors: 5,73,286","Male Electors: 3,11,421","Female Electors: 2,61,865",Booths: 608,"Total Votes Polled: 3,78,527 (66.0%)","Total Male Voters: 2,13,992","Female Voters: 1,64,535"
4,1977,Ahmednagar,39,"Electors: 5,75,389","Male Electors: 2,91,112","Female Electors: 2,84,277",Booths: 660,"Total Votes Polled: 3,34,072 (58.1%)","Total Male Voters: 1,83,555","Female Voters: 1,50,517"
5,1977,Ajmer,12,"Electors: 5,77,838","Male Electors: 2,92,394","Female Electors: 2,85,444",Booths: 692,"Total Votes Polled: 3,45,484 (59.8%)","Total Male Voters: 1,86,978","Female Voters: 1,58,506"
6,1977,Akbarpur,27,"Electors: 6,26,897","Male Electors: 3,32,255","Female Electors: 2,94,642",Booths: 746,"Total Votes Polled: 3,67,714 (58.7%)","Total Male Voters: 2,18,220","Female Voters: 1,49,494"
7,1977,Akola,19,"Electors: 5,89,719","Male Electors: 3,07,515","Female Electors: 2,82,204",Booths: 584,"Total Votes Polled: 3,88,243 (65.8%)","Total Male Voters: 2,09,134","Female Voters: 1,79,109"
8,1977,Aligarh,76,"Electors: 6,20,338","Male Electors: 3,41,453","Female Electors: 2,78,885",Booths: 741,"Total Votes Polled: 4,01,923 (64.8%)","Total Male Voters: 2,21,218","Female Voters: 1,80,705"
9,1977,Alipurduars,2,"Electors: 5,23,297","Male Electors: 2,81,252","Female Electors: 2,42,045",Booths: 671,"Total Votes Polled: 3,12,975 (59.8%)","Total Male Voters: 1,77,173","Female Voters: 1,35,802"
10,1977,Allahabad,56,"Electors: 6,25,143","Male Electors: 3,43,908","Female Electors: 2,81,235",Booths: 689,"Total Votes Polled: 3,38,537 (54.2%)","Total Male Voters: 1,79,468","Female Voters: 1,59,069"
11,1977,Alleppey,15,"Electors: 5,79,976","Male Electors: 2,86,157","Female Electors: 2,93,819",Booths: 510,"Total Votes Polled: 4,85,659 (83.7%)","Total Male Voters: 2,38,334","Female Voters: 2,47,325"
12,1977,Almora,3,"Electors: 5,71,452","Male Electors: 2,67,539","Female Electors: 3,03,913",Booths: 906,"Total Votes Polled: 2,50,422 (43.8%)","Total Male Voters: 1,51,958","Female Voters: 98,464"
13,1977,Alwar,8,"Electors: 5,70,990","Male Electors: 2,97,878","Female Electors: 2,73,112",Booths: 712,"Total Votes Polled: 3,18,565 (55.8%)","Total Male Voters: 1,84,116","Female Voters: 1,34,449"
14,1977,Amalapuram,9,"Electors: 6,39,473","Male Electors: 3,15,135","Female Electors: 3,24,338",Booths: 689,"Total Votes Polled: 4,31,758 (67.5%)","Total Male Voters: 2,22,903","Female Voters: 2,08,855"
15,1977,Ambala,1,"Electors: 5,21,047","Male Electors: 2,77,520","Female Electors: 2,43,527",Booths: 547,"Total Votes Polled: 3,96,269 (76.1%)","Total Male Voters: 2,17,539","Female Voters: 1,78,730"
16,1977,Amethi,25,"Electors: 6,23,256","Male Electors: 3,31,079","Female Electors: 2,92,177",Booths: 697,"Total Votes Polled: 3,02,826 (48.6%)","Total Male Voters: 1,70,143","Female Voters: 1,32,683"
17,1977,Amravati,21,"Electors: 5,81,266","Male Electors: 3,02,621","Female Electors: 2,78,645",Booths: 705,"Total Votes Polled: 3,71,352 (63.9%)","Total Male Voters: 2,02,896","Female Voters: 1,68,456"
