election_year,pc_name,pc_no,type_category,state,winning_candidate,party,electors,votes,turnout,margin,margin_percent
1977,Adilabad,35,GEN,Andhra Pradesh,G. Narsimha Reddy,Indian National Congress,"5,48,091","3,10,466",56.6 %,"71,166",22.9%
1977,Adoor,17,GEN,Kerala,P. K. Kodiyan,Communist Party Of India,"5,25,154","4,29,974",81.9 %,"40,567",9.4%
1977,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Shambhu Nath Chaturvedi,Bharatiya Lok Dal,"5,66,094","3,72,202",65.8 %,"1,60,552",43.1%
1977,Ahmedabad,10,GEN,Gujarat,Ahesan Jafri,Indian National Congress,"5,73,286","3,78,527",66.0 %,"10,013",2.6%
1977,Ahmednagar,39,GEN,Maharashtra,Shinde Annasaheb Pandurang,Indian National Congress,"5,75,389","3,34,072",58.1 %,"64,813",19.4%
1977,Ajmer,12,GEN,Rajasthan,Srikaran Sharda,Bharatiya Lok Dal,"5,77,838","3,45,484",59.8 %,"1,04,248",30.2%
1977,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mangal Deo Visharad,Bharatiya Lok Dal,"6,26,897","3,67,714",58.7 %,"2,11,826",57.6%
1977,Akola,19,GEN,Maharashtra,Sathe Vasantrao Purushottam,Indian National Congress,"5,89,719","3,88,243",65.8 %,"61,499",15.8%
1977,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Nawab Singh Chauhan,Bharatiya Lok Dal,"6,20,338","4,01,923",64.8 %,"1,90,758",47.5%
1977,Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,"5,23,297","3,12,975",59.8 %,"40,568",13.0%
1977,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Janeshwar Mishra,Bharatiya Lok Dal,"6,25,143","3,38,537",54.2 %,"89,988",26.6%
1977,Alleppey,15,GEN,Kerala,V. M. Sudheeran,Indian National Congress,"5,79,976","4,85,659",83.7 %,"64,016",13.2%
1977,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar Joshi,Bharatiya Lok Dal,"5,71,452","2,50,422",43.8 %,"77,476",30.9%
1977,Alwar,8,GEN,Rajasthan,Ramji Lal Yadav,Bharatiya Lok Dal,"5,70,990","3,18,565",55.8 %,"1,72,478",54.1%
1977,Amalapuram,9,SC,Andhra Pradesh,Kusuma Krishna Murty,Indian National Congress,"6,39,473","4,31,758",67.5 %,"1,35,989",31.5%
1977,Ambala,1,SC,Haryana,Suraj Bhan,Bharatiya Lok Dal,"5,21,047","3,96,269",76.1 %,"1,65,494",41.8%
1977,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Ravindra Pratap Singh,Bharatiya Lok Dal,"6,23,256","3,02,826",48.6 %,"75,844",25.0%
1977,Amravati,21,GEN,Maharashtra,Bonde Nana Mahadeo,Indian National Congress,"5,81,266","3,71,352",63.9 %,"1,60,662",43.3%
1977,Amreli,7,GEN,Gujarat,Dwarkadas Mohanlal Patel,Indian National Congress,"4,94,073","2,67,457",54.1 %,"59,006",22.1%
1977,Amritsar,2,GEN,Punjab,Baldev Parkash,Bharatiya Lok Dal,"6,74,907","4,84,968",71.9 %,"25,041",5.2%
1977,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Chandrapal Singh,Bharatiya Lok Dal,"5,75,748","3,59,728",62.5 %,"1,36,494",37.9%
1977,Anakapalli,6,GEN,Andhra Pradesh,Appalanaidu S. R. A. S.,Indian National Congress,"7,08,066","3,78,738",53.5 %,"35,936",9.5%
1977,Anand,20,GEN,Gujarat,Ajitsinh Fulsinh Dabhi,Indian National Congress,"5,64,294","4,01,323",71.1 %,"62,779",15.6%
1977,Anantapur,25,GEN,Andhra Pradesh,Darur Pullaiah,Indian National Congress,"6,40,440","4,01,269",62.7 %,"42,208",10.5%
1977,Anantnag,3,GEN,Jammu & Kashmir,Mohd. Shafi Qureshi,Indian National Congress,"4,71,302","2,63,112",55.8 %,"8,331",3.2%
1977,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"85,308","60,590",71.0 %,"10,232",16.9%
1977,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Brij Raj Singh,Bharatiya Lok Dal,"5,80,011","3,00,461",51.8 %,"1,37,188",45.7%
1977,Arakkonam,6,SC,Tamil Nadu,Alagesan O.V.,Indian National Congress,"6,67,308","4,77,910",71.6 %,"57,864",12.1%
1977,Arambagh,28,GEN,West Bengal,Prafulla Chandra Sen,Bharatiya Lok Dal,"5,80,700","3,98,708",68.7 %,"2,07,437",52.0%
1977,Araria,22,SC,Bihar [1947 - 1999],Mahendra Narayan Sardar,Bharatiya Lok Dal,"5,90,569","3,47,588",58.9 %,"1,08,534",31.2%
